video protocol: MPEG2
revision pre-S
AVD CRC 57828a59 7f905061 bb23f0c1; 0 0 0
AVD CRC a15e96ef fa15b3b8 d400e688; 0 0 0
AVD CRC 8a20836d f357b0ba 7e5368f; 0 0 0
AVD CRC 6f0b1789 7c0274f 76ad4b82; 0 0 0
AVD CRC df86b72a 421e4214 86ff072; 0 0 0
AVD CRC 4a4459a7 130c169a 70e5f551; 0 0 0
AVD CRC e90a9f5c af585ef c891fd9a; 0 0 0
AVD CRC 6189fab8 dfbbfc39 436a9b8c; 0 0 0
AVD CRC dfe9018d fe4055f2 496e75a8; 0 0 0
AVD CRC 1bc9b1d4 7f695c21 c8c70bfd; 0 0 0
AVD CRC a0cb0774 518fa03b 83351ae0; 0 0 0
AVD CRC 309ee357 772b7922 4df969e7; 0 0 0
AVD CRC 9c00aad9 96c4cf7b 892a9cbf; 0 0 0
AVD CRC 64b24709 75deda27 805d4c9d; 0 0 0
AVD CRC a45f7302 73a0e584 adce892a; 0 0 0
AVD CRC dfcb21b6 920ecc89 e1e66fea; 0 0 0
AVD CRC 96a7081f be7aca61 80bcc76d; 0 0 0
AVD CRC e0855c0c 27ea5d34 43530c9; 0 0 0
AVD CRC a37d2a52 94f0335c ae823da0; 0 0 0
AVD CRC 9fb9ab20 e0b1c0c1 a5968ae8; 0 0 0
AVD CRC 5700e647 19133354 b8e9bdb6; 0 0 0
AVD CRC 4c9485ef 4573595a d06fcaf5; 0 0 0
AVD CRC b817d06f 4bcb70f 38ec12e3; 0 0 0
AVD CRC 13ab5568 7606daf9 52481b6; 0 0 0
AVD CRC f7bb311a 27ecbd5f 60cf438e; 0 0 0
AVD CRC 75654bcb 1f72e38 d07d39fe; 0 0 0
AVD CRC bdc642bc 2c6b5231 a26e16dd; 0 0 0
AVD CRC 76611bf1 1481e980 eadbc8de; 0 0 0
AVD CRC 6dcb5483 2a02c5d7 1b88578c; 0 0 0
AVD CRC 131816b2 29eb3f90 d543d55e; 0 0 0
AVD CRC f5dfe101 3de91b75 2785bfea; 0 0 0
AVD CRC c5c0bb77 5e559d98 7158dbc; 0 0 0
AVD CRC 3dd27d6f 88ec29c8 270bd1cc; 0 0 0
AVD CRC e954d44f a04bca72 8413b777; 0 0 0
AVD CRC a56db653 6daab923 b86941d8; 0 0 0
AVD CRC 2086d155 f274b065 92b5d063; 0 0 0
AVD CRC 8797802c 7ddadee9 d39c3aeb; 0 0 0
AVD CRC 507e2043 8eaefd86 c9ff0d83; 0 0 0
AVD CRC 4400123d c57f3e1d 209a5a6; 0 0 0
AVD CRC 27d704a0 3a7c3aca f2772dca; 0 0 0
AVD CRC 54762a2e 336e229a 6a52cf5a; 0 0 0
AVD CRC bef5adc8 c08cf68a 9b3c517; 0 0 0
AVD CRC 6fa111a4 3466f8e5 f140ab80; 0 0 0
AVD CRC 6617f26a 9ff4769d 8e18c519; 0 0 0
AVD CRC 62d939e8 1b443181 4a7ed22e; 0 0 0
AVD CRC eaf5374a 1c81da47 9fea5bad; 0 0 0
AVD CRC 3a26dead 355d41d0 7ad9c985; 0 0 0
