2534
6.8 1
0.61 0.69 1.0
0.67 0.75 1.0
0.79 0.84 1.0
0.97 0.97 1.0
1.0 0.96 0.92
1.0 0.82 0.63
1.0 0.8 0.44
2.19939 -0.899953 5.2 B3
2.75743 1.00079 5.2 F0
2.84914 0.589473 5.2 K0
2.75846 0.125869 5.2 K0
5.94222 0.725296 5.2 K0
0.202225 0.290965 5.2 F5
1.01603 1.06404 5.2 ++
2.34386 -0.821007 5.2 F0
4.74173 0.349695 5.2 A3
5.38488 -0.0475465 5.2 K5
5.28916 0.498155 5.2 A3
4.56524 0.00644904 5.2 A5
2.40162 1.07566 5.2 F8
0.0839592 -0.354914 5.2 M5
2.1687 0.477891 5.2 F5
2.12908 -0.767502 5.2 B3
2.19576 0.134894 5.2 K0
2.55418 0.807303 5.2 G0
3.13019 0.0686546 5.2 A0
4.83678 -0.321817 5.2 A0
1.62274 0.334669 5.2 F5
2.46384 -0.927846 5.2 B5
5.80239 1.03267 5.2 OD
0.132911 -1.10491 5.2 A2
6.12002 1.08225 5.2 K5
2.29881 -0.0568339 5.2 B9
5.34272 -0.32074 5.2 B8
4.06841 0.186812 5.2 F0
2.63634 -0.822487 5.2 K0
0.987012 0.418625 5.2 B8
3.85325 -0.440381 5.2 F5
5.81824 -0.73089 5.2 G5
1.3277 -0.0823891 5.2 B9
5.13443 0.0921964 5.2 B3
5.42939 0.278257 5.2 F8
4.00011 0.0340918 5.2 G0
0.570314 -0.540312 5.2 A0
5.37644 1.30522 5.2 A2
0.796012 -1.046 5.2 F0
1.74291 0.777976 5.2 K5
5.60824 0.644004 5.2 B3
3.51677 0.245135 5.2 G0
5.49226 -1.34769 5.2 F2
1.6471 -0.0509931 5.2 M0
1.50159 -0.564165 5.2 B2
5.93078 0.697501 5.2 B2
6.23929 0.328866 5.2 M0
5.22302 -1.1708 5.2 K0
4.13928 -0.0513223 5.2 A2
1.80562 -0.243952 5.2 G5
5.44498 -0.904011 5.2 K0
3.9832 -1.0607 5.2 OE
5.11541 -0.186248 5.2 G5
0.00847452 -0.188282 5.2 K2
4.98456 -0.91484 5.2 G0
0.284199 0.762296 5.2 A2
4.92189 0.567095 5.2 A2
1.90613 -0.682736 5.2 A2
5.05632 -0.951533 5.2 A0
2.50999 0.706253 5.2 A5
0.454659 -0.938505 5.1 A0
1.55638 -0.166858 5.1 A5
1.1244 -0.774697 5.1 K0
2.6487 -0.899985 5.1 B5
0.829988 -0.0241187 5.1 F8
1.62199 -1.3044 5.1 K0
0.968508 -0.023029 5.1 B8
1.09898 0.172551 5.1 B8
3.3634 0.375532 5.1 K0
3.00091 -0.0476024 5.1 K2
1.92284 1.44014 5.1 MB
1.42064 -1.02895 5.1 G5
0.987755 0.574906 5.1 A2
1.12257 0.475304 5.1 K0
4.94962 -0.361693 5.1 A0
5.42234 0.437916 5.1 K2
2.25559 -0.392538 5.1 G5
2.02303 -0.252043 5.1 F0
2.96745 0.763709 5.1 G5
3.47372 0.871697 5.1 A0
1.59615 -0.650044 5.1 B9
